Dzwonek boloński
Dzwonek brodaty
Dzwonek brzoskwiniolistny
Dzwonek ciemny
Dzwonek czosnaczkolistny
Dzwonek dalmatyński
Dzwonek drobny
Dzwonek gargański
Dzwonek jednostronny
Dzwonek karpacki
Dzwonek kremowy
Dzwonek ogrodowy
Dzwonek okrągłolistny
Dzwonek piramidalny
Dzwonek Poszarskiego
Dzwonek rapunkuł
Dzwonek skupiony
Dzwonek szerokolistny
Enkiant dzwonkowaty
Eonium
Epimedium
Epimedium alpejskie
Epimedium wielkokwiatowe
Epimedium Younga
Eszolcja kalifornijska
Eukaliptus gałkowy
Falopia bucharska
Fiołek
Fiołek labradorski
Fiołek motylkowaty
Fiołek rogaty
Fiołek wonny
Firletka
Firletka alpejska
Firletka chalcedońska
Firletka omszona
Firletka poszarpana
Fitonia
Forsycja
Forsycja koreańska
Forsycja pośrednia
Forsycja zielona
Fotergilla amerykańska
Fotergilla Gardena
Fotergilla większa
Frankenia macierzankolistna
Fuksja
Fuksja drobnolistna
Fuksja magellańska
Funkia
Funkia babkowata
Funkia falista
Funkia rozdęta
Funkia Siebolda
Galtonia biaława
Gaura Lindheimera
Gazania
Gentiana septemfida var. LagodechiaGoryczka siedmiodzielna
Geranium cinereum var. subcaulesceBodziszek popielaty
Geranium sanguineum var. lancastrieBodziszek czerwony
Geranium sanguineum var. prostratu Bodziszek czerwony
Geranium sanguineum var. striatum  Bodziszek czerwony
Geranium sanguineum x psilostemonBodziszek czerwony
Geranium sessiliflorum ssp. nov.-zel. Bodziszek
Gipsówka
Glicynia chińska
Głodek
Głodek kaukaski
Głodek mrzygłód
Głogownik
Głowienka
Głowienka kremowa
Głowienka Webba
Głowienka wielkokwiatowa
Głowocis pestkowany
Głóg
Głóg dwuszyjkowy
Głóg jednoszyjkowy
Głóg Lavallego
Głóg szlachetny
Golteria
Gomfrena
Goryczka bezłodygowa
Goryczka chińska
Goryczka dahurska
Goryczka dynarska
Goryczka Klusjusza
Goryczka Kocha
Goryczka krzyżowa
Goryczka trojeściowa
Goryczka tybetańska
Goryczka wąskolistna
Goryczka wiosenna
Goryczka żółta
Goździk
Goździk brodaty)
Goździk kropkowany
Goździk lodowcowy
Goździk niskołodygowy
Goździk postrzępiony
Goździk pyszny
Goździk siny
Goździk zaniedbany
Grab pospolity
Grab pospolity dębolistny
Grążel żółty
Groszek szerokolistny
Groszek wiosenny
Grubosz
Grubosz Millforda
Grujecznik japoński
Grusza
Grusza wierzbolistna
Grzybienie białe
Grzybień (lilia wodna)
Gunnera olbrzymia
Guzikowiec zachodni
Hebe bukszpanolistne
Hiacynt wodny
Hiacynt wschodni
Hibiskus, Ketmia
Hildewintera złotocierniowa
Horminum pirenejskie
Hortensja bukietowa
Hortensja dębolistna
Hortensja krzewiasta (drzewkowata)
Hortensja krzewiasta (drzewkowata)Annabelle
Hortensja ogrodowa
Hortensja pnąca
Hortensja Sargenta
Houstonia błękitna
Hydrangea aspera ssp. sargentiana  Hortensja kosmata
Hylomekon japoński
Hyzop lekarski
Iglica
Iglicznia trójcieniowa
Inkarwilla Delavaya
Irga
Irga Dammera
Irga drobnolistna
Irga pozioma
Irga purpurowa
Irga rozesłana
Irga szwedzka
Irga wczesna
Irga wierzbolistna
Irys grzebieniasty
Itea wirginijska
Jabłoń
Jabłoń jagodowa
Jabłoń purpurowa
Jagoda kamczacka
Jagodowiec wielkokwiatowy
Jałowiec chiński
Jałowiec łuskowaty
Jałowiec Pfitzera
Jałowiec płożący
Jałowiec pospolity
Jałowiec pośredni
Jałowiec rozesłany
Jałowiec sabiński
Jałowiec wirginijski
Janowiec bułgarski
Janowiec promienisty
Janowiec włosisty
Jarząb pospolity
Jarząb szwedzki
Jarzęboirga
Jarzmianka
Jarzmianka większa
Jasieniec trwały
Jaskier górski
Jaskier lodnikowy
Jaskier tojadolistny
Jasnota gajowiec
Jasnota plamista
Jasnota wielkokwiatowa
Jastrun
Jastrun alpejski
Jastrun właściwy
Jastrzębiec
Jastrzębiec baldaszkowaty
Jastrzębiec czerwony
Jastrzębiec kosmaty
Jastrzębiec pomarańczowy
Jaśmin nagokwiatowy
Jaśminowiec wonny
Jesion mannowy
Jesion wyniosły
Jeżówka purpurowa
Języczka Hessego
Języczka pomarańczowa
Języczka wąskogłówkowa
Języcznik zwyczajny
Jodła algierska
Jodła arizońska (korkowa)
Jodła balsamiczna
Jodła Frasera
Jodła górska
Jodła górska odm. arizońska
Jodła grecka
