1;453.439
2;197.402
3;183.93
4;191.031
5;190.386
6;176.212
7;170.132
8;181.74
9;169.458
10;196.01
11;177.454
12;181.181
13;172.204
14;129.614
15;131.934
16;136.365
17;166.033
18;183.83
19;183.085
20;185.991
21;177.131
22;202.464
23;186.328
24;178.518
25;182.594
26;183.673
27;186.217
28;193.31
29;184.655
30;140.035
31;133.994
32;135.82
33;136.284
34;136.996
35;135.719
36;134.255
37;159.151
38;183.16
39;182.665
40;187.085
41;183.419
42;183.64
43;193.035
44;185.322
45;185.767
46;218.997
47;230.074
48;212.085
49;189.075
50;153.558
51;143.73
52;137.346
53;153.301
54;184.266
55;189.004
56;185.986
57;186.523
58;188.297
59;184.984
60;185.973
61;190.298
62;191.904
63;189.418
64;187.762
