1;383.143
2;170.669
3;154.054
4;127.299
5;119.893
6;125.636
7;97.846
8;95.2412
9;108.182
10;94.4194
11;96.3607
12;127.608
13;124.499
14;131.938
15;129.94
16;134.076
17;128.638
18;123.317
19;135.599
20;132.447
21;129.616
22;128.702
23;127.399
24;126.647
25;131.8
26;129.129
27;138.783
28;128.866
29;129.263
30;119.928
31;99.7664
32;97.8481
33;98.1591
34;99.1268
35;99.5403
36;105.34
37;99.6742
38;99.1123
39;99.0752
40;116.736
41;127.64
42;131.567
43;131.567
44;133.331
45;139.524
46;130.321
47;129.951
48;139.622
49;138.683
50;137.781
51;132.565
52;145.848
53;134.881
54;134.487
55;132.299
56;130.619
57;132.762
58;126.974
59;100.091
60;101.44
61;99.3841
62;100.647
63;107.175
64;130.102
