1,158.271
2,54.5206
3,50.923
4,48.8831
5,53.0495
6,51.9461
7,55.0838
8,49.2944
9,52.1432
10,51.374
11,66.1119
12,69.2786
13,85.0981
14,65.9075
15,64.7491
16,68.7721
17,74.7437
18,64.511
19,68.9812
20,79.3052
21,72.3898
22,74.0107
23,69.0925
24,69.0503
25,67.6176
26,66.6196
27,67.3193
28,66.748
29,69.6387
30,68.1048
31,70.3508
32,88.3433
33,88.4717
34,68.8634
35,73.1292
36,74.565
37,70.3324
38,72.9594
39,70.3632
40,72.0144
41,72.2836
42,71.7413
43,69.9254
44,54.1857
45,52.0997
46,60.3404
47,60.7628
48,61.0055
49,60.0511
50,62.3367
51,63.2869
52,67.1785
53,72.6096
54,72.8472
55,72.4103
56,72.8762
57,73.4373
58,74.1537
59,72.2943
60,72.3706
61,75.5587
62,77.7496
63,73.0947
64,78.0099
